                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                 1.0179,                0.74002,                 1.0692,                0.81436,                0.71324,                0.79767,                0.56947,                0.92804,                0.61524,                0.99287,               0.002278,               0.002278,               0.002278
                     81,                 1.0156,                0.73509,                 1.0647,                0.81437,                0.71467,                0.79839,                0.57012,                0.92686,                0.61376,                0.99204,               0.002179,               0.002179,               0.002179
                     82,                 1.0081,                0.72987,                  1.065,                0.81358,                0.71637,                0.79943,                0.57057,                0.92604,                0.61227,                0.99146,                0.00208,                0.00208,                0.00208
                     83,                  1.009,                0.72631,                 1.0605,                0.81381,                0.71851,                0.79982,                0.57147,                0.92522,                0.61073,                0.99065,               0.001981,               0.001981,               0.001981
                     84,                 1.0026,                0.72008,                 1.0583,                0.81538,                0.71817,                0.80012,                 0.5722,                0.92381,                0.60896,                 0.9897,               0.001882,               0.001882,               0.001882
                     85,                 1.0022,                0.72014,                 1.0587,                0.81258,                0.72036,                0.80057,                0.57296,                0.92253,                0.60765,                0.98872,               0.001783,               0.001783,               0.001783
                     86,                0.99836,                 0.7171,                 1.0578,                0.81363,                0.72046,                0.80095,                0.57374,                0.92169,                0.60609,                0.98806,               0.001684,               0.001684,               0.001684
                     87,                0.99226,                0.71101,                 1.0551,                0.81528,                0.72103,                0.80186,                 0.5744,                0.92053,                0.60447,                0.98726,               0.001585,               0.001585,               0.001585
                     88,                0.99153,                0.70822,                 1.0543,                0.81557,                0.72082,                0.80258,                0.57512,                0.91924,                0.60282,                0.98645,               0.001486,               0.001486,               0.001486
                     89,                0.98608,                0.70087,                 1.0516,                0.81707,                0.72103,                0.80343,                0.57612,                0.91799,                0.60131,                0.98557,               0.001387,               0.001387,               0.001387
                     90,                  0.985,                0.69754,                 1.0488,                0.81711,                0.72294,                0.80464,                0.57703,                0.91674,                0.59966,                0.98476,               0.001288,               0.001288,               0.001288
                     91,                0.96063,                0.64168,                 1.0199,                0.81802,                0.72402,                0.80538,                0.57821,                0.91525,                0.59807,                0.98379,               0.001189,               0.001189,               0.001189
                     92,                0.95184,                0.62794,                 1.0113,                0.81898,                0.72352,                0.80575,                0.57931,                0.91391,                 0.5964,                0.98307,                0.00109,                0.00109,                0.00109
                     93,                0.94646,                0.62146,                 1.0104,                0.82003,                0.72406,                0.80629,                0.57999,                0.91252,                0.59471,                0.98224,               0.000991,               0.000991,               0.000991
                     94,                0.94325,                0.61607,                 1.0096,                0.81952,                0.72609,                0.80727,                0.58116,                0.91103,                0.59295,                0.98113,               0.000892,               0.000892,               0.000892
                     95,                 0.9384,                0.61213,                 1.0063,                0.82159,                0.72538,                0.80801,                0.58177,                0.90984,                0.59125,                0.98031,               0.000793,               0.000793,               0.000793
                     96,                0.93511,                0.60542,                 1.0042,                 0.8217,                0.72588,                0.80845,                0.58274,                 0.9085,                0.58958,                0.97945,               0.000694,               0.000694,               0.000694
                     97,                0.93069,                0.60197,                 1.0023,                0.82461,                0.72462,                0.80888,                0.58336,                0.90744,                0.58795,                0.97878,               0.000595,               0.000595,               0.000595
                     98,                 0.9248,                0.59518,                 1.0005,                0.82353,                0.72583,                0.80987,                0.58419,                 0.9061,                0.58644,                0.97797,               0.000496,               0.000496,               0.000496
                     99,                0.92023,                0.59043,                0.99785,                0.82521,                0.72474,                0.81054,                  0.585,                 0.9047,                0.58478,                 0.9772,               0.000397,               0.000397,               0.000397
                    100,                0.91827,                0.58909,                0.99755,                0.82662,                0.72438,                0.81126,                0.58587,                0.90367,                0.58289,                0.97651,               0.000298,               0.000298,               0.000298
